Municipality,"Average Opioid-Related Death Rate per 100,000 People from 2001-2005","Average Opioid-Related Death Rate  per 100,000 People from 2006-2010","Average Opioid-Related Death Rate  per 100,000 People from 2011-2015"
Abington,6.7,12.3,16.3
Acton,1.0,1.9,10.0
Acushnet,2.0,5.7,9.7
Adams,4.6,9.5,18.9
Agawam,5.0,9.8,12.7
Alford,0.0,0.0,0.0
Amesbury,7.3,4.8,14.7
Amherst,2.3,2.3,3.2
Andover,1.3,3.0,10.2
Arlington,5.2,7.7,11.2
Ashburnham,0.0,6.7,6.6
Ashby,7.0,6.8,6.5
Ashfield,11.1,11.1,11.5
Ashland,5.4,6.4,9.6
Athol,15.8,6.9,17.3
Attleboro,8.0,10.1,20.6
Auburn,2.5,6.1,12.4
Avon,4.5,13.8,45.9
Ayer,11.0,11.0,10.8
Barnstable,8.8,11.8,18.6
Barre,0.0,11.2,14.8
Becket,0.0,0.0,11.2
Bedford,4.8,6.3,7.5
Belchertown,4.6,5.7,12.3
Bellingham,6.5,11.4,13.5
Belmont,2.5,0.8,5.7
Berkley,10.2,6.3,15.6
Berlin,0.0,14.7,7.0
Bernardston,0.0,0.0,37.6
Beverly,7.0,7.0,17.7
Billerica,8.2,10.0,13.9
Blackstone,9.0,2.2,8.9
Blandford,0.0,0.0,16.2
Bolton,0.0,4.4,8.2
Boston,11.6,12.2,15.2
Bourne,3.2,11.3,21.3
Boxborough,0.0,0.0,0.0
Boxford,0.0,2.5,7.5
Boylston,4.9,0.0,9.2
Braintree,5.3,8.2,14.6
Brewster,5.9,7.9,6.1
Bridgewater,6.3,7.7,19.6
Brimfield,5.9,0.0,5.5
Brockton,10.5,13.7,25.2
Brookfield,13.1,0.0,17.7
Brookline,2.5,2.1,2.4
Buckland,0.0,10.1,21.1
Burlington,5.2,5.1,10.6
Cambridge,7.1,3.9,6.3
Canton,7.6,6.5,15.8
Carlisle,8.4,4.1,0.0
Carver,8.9,8.7,34.8
Charlemont,0.0,14.7,0.0
Charlton,3.5,11.2,7.7
Chatham,3.0,9.0,6.5
Chelmsford,1.2,5.3,8.3
Chelsea,18.9,12.8,22.2
Cheshire,0.0,0.0,0.0
Chester,0.0,0.0,0.0
Chicopee,10.2,12.4,17.4
Chesterfield,0.0,15.9,0.0
Chilmark,0.0,0.0,23.1
Clarksburg,11.9,0.0,23.5
Clinton,5.9,14.4,26.5
Cohasset,5.5,5.5,8.0
Colrain,0.0,0.0,0.0
Concord,2.4,3.5,1.1
Conway,0.0,0.0,0.0
Cummington,40.8,0.0,0.0
Dalton,0.0,3.0,5.9
Danvers,7.9,7.7,15.9
Dartmouth,10.4,7.5,10.6
Dedham,6.0,13.4,11.3
Deerfield,0.0,0.0,3.9
Dennis,11.3,18.0,22.5
Dighton,3.2,5.9,2.8
Douglas,11.1,5.0,11.8
Dover,0.0,0.0,0.0
Dracut,6.3,10.4,17.0
Dudley,3.9,9.2,10.5
Dunstable,0.0,12.7,12.6
Duxbury,1.4,2.7,8.0
East Bridgewater,7.6,13.0,11.6
East Brookfield,0.0,9.4,0.0
East Longmeadow,9.8,5.3,16.5
Eastham,0.0,7.4,36.3
Easthampton,8.8,13.7,15.0
Easton,3.6,1.7,13.8
Edgartown,10.5,0.0,0.0
Egremont,14.9,0.0,0.0
Erving,0.0,12.6,11.1
