Geography,FullName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
USA,United States,3.6,4,4.9,5.4,5.7,6.2,7.3,7.3,7.2,7.3,7.5,8,8,8.6,9.7,
CT,Connecticut,5.6,5,5.9,5.7,6.5,5.9,7.9,8.4,7.4,7.1,7,7.1,6.6,13.4,15.7,
ME,Maine,3.2,4.3,7.3,7,8.6,9.6,7.9,8.7,8.3,8.7,7.2,7.2,8.1,10.2,14,
MA,Massachusetts,5.8,7.7,8,9.4,7.9,8.8,10,9.7,9.4,9.4,8.5,9.9,11.1,14.4,19.9,23.4
NH,New Hampshire,2.4,4.4,6.7,7.6,7.9,8.9,9,11.5,7.4,10,9.4,11.9,10.8,12.4,23.9,
NJ,New Jersey,4.6,5.2,6.4,5.9,4.4,6.5,5.1,4.7,4.4,0.7,4.9,5.6,7.6,8.3,8.7,
NY,New York,3.2,4.2,3.8,3.9,3.4,3.9,6.9,6.8,6.6,6.3,6.3,7.8,8.4,9.3,9.5,
PA,Pennsylvania,3.2,2.4,3.5,4.5,4.7,4.9,4.4,4.8,5.8,5.8,5.9,6.9,7.4,8.4,9.6,
RI,Rhode Island,6,8.2,7.9,11,7.8,11.7,14.8,9.4,13.6,12.1,12.3,14.4,15.1,19.7,20.6,
VT,Vermont,3.9,5.5,6.6,7.4,6.5,6.6,10.7,9.4,9.2,6,6.8,9.5,8.6,11.9,11.4,
